Identifier,Approximate Zip Code,Reading Timestamp,Reading Day,Reading Time String,Concentration
Sensor 67357,94028,12/11/21 18:59:23,Saturday,Evening,2.23
Sensor 67357,94028,12/12/21 00:59:27,Sunday,Night,1.16
Sensor 67357,94028,12/12/21 06:59:31,Sunday,Morning,2.0
Sensor 67357,94028,12/12/21 12:59:34,Sunday,Midday,0.55
Sensor 67357,94028,12/12/21 18:59:38,Sunday,Evening,0.0
Sensor 67357,94028,12/13/21 00:59:42,Monday,Night,0.0
Sensor 67357,94028,12/13/21 06:59:46,Monday,Morning,0.0
Sensor 67357,94028,12/13/21 12:59:49,Monday,Midday,0.45
Sensor 67357,94028,12/13/21 18:59:53,Monday,Evening,0.96
Sensor 67357,94028,12/14/21 00:59:57,Tuesday,Night,0.42
Sensor 67357,94028,12/14/21 07:00:01,Tuesday,Morning,0.12
Sensor 67357,94028,12/14/21 13:00:05,Tuesday,Midday,0.0
Sensor 67357,94028,12/14/21 19:00:08,Tuesday,Evening,5.18
Sensor 67357,94028,12/15/21 01:00:12,Wednesday,Night,0.0
Sensor 67357,94028,12/15/21 07:00:16,Wednesday,Morning,0.26
Sensor 67357,94028,12/15/21 13:00:20,Wednesday,Midday,0.61
Sensor 67357,94028,12/15/21 19:00:24,Wednesday,Evening,0.0
Sensor 67357,94028,12/16/21 01:00:28,Thursday,Night,0.0
Sensor 67357,94028,12/16/21 07:00:32,Thursday,Morning,0.35
Sensor 67357,94028,12/16/21 13:00:36,Thursday,Midday,2.61
Sensor 67357,94028,12/16/21 19:00:40,Thursday,Evening,2.41
Sensor 67357,94028,12/17/21 01:00:44,Friday,Night,7.27
Sensor 67357,94028,12/17/21 07:00:47,Friday,Morning,3.19
Sensor 67357,94028,12/17/21 13:00:51,Friday,Midday,1.34
Sensor 67357,94028,12/17/21 19:00:55,Friday,Evening,4.09
Sensor 67357,94028,12/18/21 01:00:58,Saturday,Night,0.96
Sensor 67357,94028,12/18/21 06:59:02,Saturday,Morning,10.96
Sensor 67357,94028,12/18/21 12:59:06,Saturday,Midday,21.07
Sensor 77861,94304,12/11/21 18:59:51,Saturday,Evening,0.0
Sensor 77861,94304,12/12/21 00:59:54,Sunday,Night,0.73
Sensor 77861,94304,12/12/21 06:59:58,Sunday,Morning,1.85
Sensor 77861,94304,12/12/21 13:00:02,Sunday,Midday,0.1
Sensor 77861,94304,12/12/21 19:00:05,Sunday,Evening,0.0
Sensor 77861,94304,12/13/21 01:00:09,Monday,Night,0.0
Sensor 77861,94304,12/13/21 07:00:13,Monday,Morning,0.0
Sensor 77861,94304,12/13/21 13:00:27,Monday,Midday,0.27
Sensor 77861,94304,12/13/21 19:00:41,Monday,Evening,7.44
Sensor 77861,94304,12/14/21 01:00:40,Tuesday,Night,0.0
Sensor 77861,94304,12/14/21 07:00:44,Tuesday,Morning,0.0
Sensor 77861,94304,12/14/21 13:00:48,Tuesday,Midday,0.0
Sensor 77861,94304,12/14/21 19:00:52,Tuesday,Evening,3.1
Sensor 77861,94304,12/15/21 01:00:55,Wednesday,Night,0.02
Sensor 77861,94304,12/15/21 07:00:59,Wednesday,Morning,0.0
Sensor 77861,94304,12/15/21 12:59:02,Wednesday,Midday,0.26
